date,gas_MMBTU,Urea_por_mt,Potash_por_mt
2015M01,2.97,305.00,279.50
2015M02,2.85,305.00,279.50
2015M03,2.80,295.50,283.40
2015M04,2.58,260.00,299.00
2015M05,2.84,265.00,300.88
2015M06,2.77,288.75,301.50
2015M07,2.83,283.75,301.50
2015M08,2.76,274.63,301.50
2015M09,2.65,279.38,301.50
2015M10,2.32,250.63,301.50
2015M11,2.08,263.63,301.50
2015M12,1.92,264.00,301.50
2016M01,2.27,233.88,301.50
2016M02,1.96,191.88,301.50
2016M03,1.70,201.75,301.50
2016M04,1.90,196.25,301.50
2016M05,1.92,198.38,301.50
2016M06,2.57,142.63,301.50
2016M07,2.79,181.00,282.50
2016M08,2.79,186.25,206.50
2016M09,2.97,187.30,206.50
2016M10,2.95,187.50,206.50
2016M11,2.50,205.00,206.50
2016M12,3.58,217.75,206.50
2017M01,3.26,233.75,206.50
2017M02,2.82,191.88,301.50
2017M03,2.89,223.50,206.50
2017M04,3.08,207.88,206.50
2017M05,3.12,178.75,206.50
2017M06,2.94,191.00,206.50
2017M07,2.96,181.00,207.25
2017M08,2.88,192.63,215.50
2017M09,2.96,219.00,215.50
2017M10,2.86,252.50,215.50
2017M11,2.99,280.00,215.50
2017M12,2.76,214.63,215.50
2018M01,3.86,219.63,215.50
2018M02,2.67,232.50,215.50
2018M03,2.70,232.50,215.50
2018M04,2.78,230.63,215.50
2018M05,2.80,221.88,215.50
2018M06,2.95,224.00,215.50
2018M07,2.83,252.50,215.50
2018M08,2.96,260.00,215.50
2018M09,2.98,267.50,215.50
2018M10,3.28,270.00,215.50
2018M11,4.13,305.60,215.50
2018M12,3.98,276.67,215.50
2019M01,3.08,260.00,215.50
2019M02,2.72,250.63,215.50
2019M03,2.94,247.50,245.50
2019M04,2.65,247.50,265.50
2019M05,2.63,247.50,265.50
2019M06,2.40,247.50,265.50
2019M07,2.36,263.50,265.50
2019M08,2.22,262.50,265.50
2019M09,2.58,237.75,265.50
2019M10,2.33,237.00,265.50
2019M11,2.65,224.50,265.50
2019M12,2.24,217.50,265.50
2020M01,2.03,215.40,268.70
2020M02,1.92,214.38,243.38
2020M03,1.79,231.13,235.00
2020M04,1.74,235.00,220.38
2020M05,1.75,201.90,222.20
2020M06,1.61,202.00,226.25
2020M07,1.74,214.40,237.50
2020M08,2.30,249.50,240.38
2020M09,1.92,250.50,247.75
2020M10,2.25,245.00,255.00
2020M11,2.59,245.00,250.00
2020M12,2.54,245.00,246.33
2021M01,2.67,265.00,255.50
2021M02,5.07,335.00,290.63
2021M03,2.56,352.88,320.88
2021M04,2.61,328.10,345.50
2021M05,2.89,331.63,378.13
2021M06,3.23,393.25,462.50
2021M07,3.80,441.50,633.00
2021M08,4.05,446.88,695.00
2021M09,5.11,418.75,736.25
2021M10,5.48,695.00,782.00
2021M11,5.02,900.50,806.88
2021M12,3.73,890.00,807.50
2022M01,4.33,846.38,785.63
2022M02,4.66,744.17,791.88
2022M03,4.88,872.50,977.50
2022M04,6.53,925.00,1202.00
2022M05,8.14,707.50,1170.00
2022M06,7.67,690.00,1101.88
2022M07,7.26,601.00,1013.00
2022M08,8.79,591.25,888.75
2022M09,7.76,678.00,731.00
2022M10,5.62,636.25,622.50
2022M11,5.28,588.75,563.13
2022M12,5.50,519.38,513.75
2023M01,3.27,443.75,508.75
2023M02,2.38,357.50,496.88
2023M03,2.30,313.50,453.00
2023M04,2.16,313.38,407.50
2023M05,2.15,329.25,372.50
2023M06,2.18,287.50,328.00
2023M07,2.55,334.63,341.25
2023M08,2.58,385.63,353.13
2023M09,2.64,380.00,352.00
2023M10,2.99,411.38,341.88
2023M11,2.71,385.50,331.88
2023M12,2.53,354.00,311.88
2024M01,3.18,335.38,296.25
2024M02,1.72,351.25,289.38
2024M03,1.50,330.00,300.50
2024M04,1.60,320.00,305.00
2024M05,2.13,284.80,307.00
2024M06,2.51,336.25,310.00
2024M07,2.08,342.50,300.63
2024M08,1.99,342.50,294.00
2024M09,2.25,337.50,286.88
2024M10,2.21,374.75,278.13
2024M11,2.10,352.30,281.00
2024M12,3.02,352.00,292.50