date,harvest_tons_projected,harvest_tons_actual,source_report,source
2023-07-09,12830.0,12830.0,2024-01-28,mhaia
2023-07-16,13037.0,13037.0,2024-01-28,mhaia
2023-07-23,12399.0,12399.0,2024-01-28,mhaia
2023-07-30,11101.0,11101.0,2024-01-28,mhaia
2023-09-03,16294.0,16294.0,2024-01-28,mhaia
2023-09-10,16922.0,16922.0,2024-01-28,mhaia
2023-09-17,19573.0,20210.0,2024-01-28,mhaia
2023-09-24,22296.0,25338.0,2024-01-28,mhaia
2023-10-01,21243.0,25211.0,2024-01-28,mhaia
2023-10-08,23650.0,19629.0,2024-01-28,mhaia
2023-10-15,23460.0,16375.0,2024-01-28,mhaia
2023-10-22,25553.0,25830.0,2024-01-28,mhaia
2023-10-29,25305.0,28495.0,2024-01-28,mhaia
2023-11-05,24802.0,23185.0,2024-01-28,mhaia
2023-11-12,25852.0,22364.0,2024-01-28,mhaia
2023-11-19,23993.0,20430.0,2024-01-28,mhaia
2023-11-26,22448.0,19169.0,2024-01-28,mhaia
2024-01-07,29546.0,29546.0,2024-09-08,mhaia
2024-01-14,36594.0,36594.0,2024-09-08,mhaia
2024-01-21,32476.0,32476.0,2024-09-08,mhaia
2024-01-28,30220.0,30220.0,2024-09-08,mhaia
2024-02-04,31687.0,31687.0,2024-09-08,mhaia
2024-02-11,26281.0,26283.0,2024-09-08,mhaia
2024-02-18,30101.0,31716.0,2024-09-08,mhaia
2024-02-25,30306.0,32282.0,2024-09-08,mhaia
2024-03-03,31414.0,27744.0,2024-09-08,mhaia
2024-03-10,31148.0,33022.0,2024-09-08,mhaia
2024-03-17,30013.0,35451.0,2024-09-08,mhaia
2024-03-24,30793.0,32910.0,2024-09-08,mhaia
2024-03-31,21632.0,19672.0,2024-09-08,mhaia
2024-04-07,33518.0,34721.0,2024-09-08,mhaia
2024-04-14,34379.0,26924.0,2024-09-08,mhaia
2024-04-21,33295.0,30478.0,2024-09-08,mhaia
2024-04-28,24025.0,30980.0,2024-09-08,mhaia
2024-05-05,24576.0,19507.0,2024-09-08,mhaia
2024-05-12,25283.0,24103.0,2024-09-08,mhaia
2024-05-19,24537.0,19239.0,2024-09-08,mhaia
2024-05-26,20396.0,18914.0,2024-09-08,mhaia
2024-06-02,19489.0,18852.0,2024-09-08,mhaia
2024-06-09,19987.0,18696.0,2024-09-08,mhaia
2024-06-16,19707.0,17825.0,2024-09-08,mhaia
2024-06-23,18475.0,3968.0,2024-09-08,mhaia
2024-06-30,17037.0,16570.0,2024-09-08,mhaia
2024-07-07,14927.0,14927.0,2025-06-22,mhaia
2024-07-14,11618.0,11618.0,2025-06-22,mhaia
2024-07-21,12274.0,12274.0,2025-06-22,mhaia
2024-07-28,11264.0,11264.0,2025-06-22,mhaia
2024-08-04,15685.0,15685.0,2025-06-22,mhaia
2024-08-11,17526.0,17526.0,2025-06-22,mhaia
2024-08-18,17871.0,17871.0,2025-06-22,mhaia
2024-08-25,21552.0,21552.0,2025-06-22,mhaia
2024-09-01,20677.0,20677.0,2025-06-22,mhaia
2024-09-08,22201.0,22201.0,2025-06-22,mhaia
2024-09-15,22386.0,22386.0,2025-06-22,mhaia
2024-09-22,21835.0,21835.0,2025-06-22,mhaia
2024-09-29,19483.0,19483.0,2025-06-22,mhaia
2024-10-06,29746.0,29746.0,2025-06-22,mhaia
2024-10-13,31044.0,31044.0,2025-06-22,mhaia
2024-10-20,30397.0,30397.0,2025-06-22,mhaia
2024-10-27,25178.0,25178.0,2025-06-22,mhaia
2024-11-03,21125.0,21125.0,2025-06-22,mhaia
2024-11-10,27051.0,27051.0,2025-06-22,mhaia
2024-11-17,27303.0,27303.0,2025-06-22,mhaia
2024-11-24,24433.0,24433.0,2025-06-22,mhaia
2024-12-01,28541.0,28541.0,2025-06-22,mhaia
2024-12-08,27871.0,27871.0,2025-06-22,mhaia
2024-12-15,21246.0,21246.0,2025-06-22,mhaia
2024-12-22,24758.0,24758.0,2025-06-22,mhaia
2024-12-29,17233.0,17233.0,2025-06-22,mhaia
2025-01-05,19115.0,19115.0,2025-06-22,mhaia
2025-01-12,33677.0,33677.0,2025-06-22,mhaia
2025-01-19,38127.0,38127.0,2025-06-22,mhaia
2025-01-26,35775.0,35775.0,2025-06-22,mhaia
2025-02-02,26671.0,26671.0,2025-06-22,mhaia
2025-02-09,17073.0,17073.0,2025-06-22,mhaia
2025-02-16,25580.0,25580.0,2025-06-22,mhaia
2025-02-23,30517.0,30517.0,2025-06-22,mhaia
2025-03-02,24124.0,24124.0,2025-06-22,mhaia
2025-03-09,19224.0,19224.0,2025-06-22,mhaia
2025-03-16,31520.0,31520.0,2025-06-22,mhaia
2025-03-23,29733.0,29733.0,2025-06-22,mhaia
2025-03-30,32287.0,32287.0,2025-06-22,mhaia
2025-04-06,16815.0,16815.0,2025-06-22,mhaia
2025-04-13,28849.0,28849.0,2025-06-22,mhaia
2025-04-20,12958.0,12958.0,2025-06-22,mhaia
2025-04-27,27101.0,27101.0,2025-06-22,mhaia
2025-05-04,21283.0,21283.0,2025-06-22,mhaia
2025-05-11,22771.0,22771.0,2025-06-22,mhaia
2025-05-18,18661.0,18661.0,2025-06-22,mhaia
2025-05-25,18349.0,18349.0,2025-06-22,mhaia
2025-06-01,17429.0,17429.0,2025-06-22,mhaia
2025-06-08,18892.0,18892.0,2025-06-22,mhaia
2025-06-15,22272.0,22272.0,2025-06-22,mhaia
2025-06-22,17835.0,17085.0,2025-06-22,mhaia
2025-06-29,15338.0,,2025-06-22,mhaia
2025-07-06,18040.0,18040.0,2026-01-11,mhaia
2025-07-13,19744.0,19744.0,2026-01-11,mhaia
2025-07-20,20414.0,20414.0,2026-01-11,mhaia
2025-07-27,15924.0,15924.0,2026-01-11,mhaia
2025-08-03,16345.0,16345.0,2026-01-11,mhaia
2025-08-10,22552.0,22552.0,2026-01-11,mhaia
2025-08-17,21973.0,21973.0,2026-01-11,mhaia
2025-08-24,22583.0,22583.0,2026-01-11,mhaia
2025-08-31,23651.0,23651.0,2026-01-11,mhaia
2025-09-07,22662.0,22662.0,2026-01-11,mhaia
2025-09-14,25994.0,25994.0,2026-01-11,mhaia
2025-09-21,21795.0,21795.0,2026-01-11,mhaia
2025-09-28,29106.0,29106.0,2026-01-11,mhaia
2025-10-05,28667.0,28667.0,2026-01-11,mhaia
2025-10-12,27482.0,27482.0,2026-01-11,mhaia
2025-10-19,29500.0,29500.0,2026-01-11,mhaia
2025-10-26,33723.0,33723.0,2026-01-11,mhaia
2025-11-02,27321.0,27321.0,2026-01-11,mhaia
2025-11-09,29194.0,29194.0,2026-01-11,mhaia
2025-11-16,31928.0,31928.0,2026-01-11,mhaia
2025-11-23,27519.0,27519.0,2026-01-11,mhaia
2025-11-30,30614.0,30614.0,2026-01-11,mhaia
2025-12-07,28688.0,28688.0,2026-01-11,mhaia
2025-12-14,23330.0,28187.0,2026-01-11,mhaia
2025-12-21,27692.0,33840.0,2026-01-11,mhaia
2025-12-28,20496.0,24443.0,2026-01-11,mhaia
2026-01-04,23638.0,23257.0,2026-01-11,mhaia
2026-01-11,38938.0,43413.0,2026-01-11,mhaia
2026-01-18,39641.0,,2026-01-11,mhaia
2026-01-25,40365.0,,2026-01-11,mhaia
2026-02-01,37501.0,,2026-01-11,mhaia
2026-02-08,25353.0,,2026-01-11,mhaia
2026-02-15,31070.0,,2026-01-11,mhaia
2026-02-22,31224.0,,2026-01-11,mhaia
2026-03-01,31279.0,,2026-01-11,mhaia
2026-03-08,31310.0,,2026-01-11,mhaia
2026-03-15,30431.0,,2026-01-11,mhaia
2026-03-22,23095.0,,2026-01-11,mhaia
2026-03-29,29830.0,,2026-01-11,mhaia
2026-04-05,21592.0,,2026-01-11,mhaia
2026-04-12,32150.0,,2026-01-11,mhaia
2026-04-19,32742.0,,2026-01-11,mhaia
2026-04-26,30673.0,,2026-01-11,mhaia
2026-05-03,23234.0,,2026-01-11,mhaia
2026-05-10,23997.0,,2026-01-11,mhaia
2026-05-17,22072.0,,2026-01-11,mhaia
2026-05-24,21737.0,,2026-01-11,mhaia
2026-05-31,21249.0,,2026-01-11,mhaia
2026-06-07,20166.0,,2026-01-11,mhaia
2026-06-14,18243.0,,2026-01-11,mhaia
2026-06-21,17482.0,,2026-01-11,mhaia
2026-06-28,16038.0,,2026-01-11,mhaia
