date,shipment_tons_projected,shipment_tons_actual,source_report,source
2023-07-09,12830.0,12830.0,2024-06-16,mhaia
2023-07-16,13037.0,13037.0,2024-06-16,mhaia
2023-07-23,12399.0,12399.0,2024-06-16,mhaia
2023-07-30,11101.0,11101.0,2024-06-16,mhaia
2023-09-03,16294.0,16294.0,2024-06-16,mhaia
2023-09-10,16922.0,16922.0,2024-06-16,mhaia
2023-09-17,20210.0,20210.0,2024-06-16,mhaia
2023-09-24,25338.0,25338.0,2024-06-16,mhaia
2023-10-01,25211.0,25211.0,2024-06-16,mhaia
2023-10-08,19629.0,19629.0,2024-06-16,mhaia
2023-10-15,16375.0,16375.0,2024-06-16,mhaia
2023-10-22,25830.0,25830.0,2024-06-16,mhaia
2023-10-29,28495.0,28495.0,2024-06-16,mhaia
2023-11-05,23185.0,23185.0,2024-06-16,mhaia
2023-11-12,22364.0,22364.0,2024-06-16,mhaia
2023-11-19,20430.0,20430.0,2024-06-16,mhaia
2023-11-26,19169.0,19169.0,2024-06-16,mhaia
2024-01-07,24954.0,24954.0,2024-09-08,mhaia
2024-01-14,29919.0,29919.0,2024-09-08,mhaia
2024-01-21,29147.0,29147.0,2024-09-08,mhaia
2024-01-28,26848.0,26848.0,2024-09-08,mhaia
2024-02-04,26652.0,26652.0,2024-09-08,mhaia
2024-02-11,21401.0,21401.0,2024-09-08,mhaia
2024-02-18,25576.0,26690.0,2024-09-08,mhaia
2024-02-25,26099.0,26827.0,2024-09-08,mhaia
2024-03-03,26487.0,23538.0,2024-09-08,mhaia
2024-03-10,25962.0,27005.0,2024-09-08,mhaia
2024-03-17,25286.0,29378.0,2024-09-08,mhaia
2024-03-24,26023.0,26866.0,2024-09-08,mhaia
2024-03-31,18158.0,21233.0,2024-09-08,mhaia
2024-04-07,29323.0,25368.0,2024-09-08,mhaia
2024-04-14,30238.0,23204.0,2024-09-08,mhaia
2024-04-21,29111.0,24584.0,2024-09-08,mhaia
2024-04-28,21215.0,23880.0,2024-09-08,mhaia
2024-05-05,21420.0,18241.0,2024-09-08,mhaia
2024-05-12,21718.0,18333.0,2024-09-08,mhaia
2024-05-19,20753.0,15106.0,2024-09-08,mhaia
2024-05-26,17416.0,14847.0,2024-09-08,mhaia
2024-06-02,16519.0,14712.0,2024-09-08,mhaia
2024-06-09,16917.0,14947.0,2024-09-08,mhaia
2024-06-16,16657.0,12283.0,2024-09-08,mhaia
2024-06-23,15567.0,4834.0,2024-09-08,mhaia
2024-06-30,14344.0,11200.0,2024-09-08,mhaia
2024-07-07,12422.0,12422.0,2025-06-22,mhaia
2024-07-14,10917.0,10917.0,2025-06-22,mhaia
2024-07-21,10791.0,10791.0,2025-06-22,mhaia
2024-07-28,10034.0,10034.0,2025-06-22,mhaia
2024-08-04,12728.0,12728.0,2025-06-22,mhaia
2024-08-11,15255.0,15255.0,2025-06-22,mhaia
2024-08-18,16213.0,16213.0,2025-06-22,mhaia
2024-08-25,17878.0,17878.0,2025-06-22,mhaia
2024-09-01,18274.0,18274.0,2025-06-22,mhaia
2024-09-08,19491.0,19491.0,2025-06-22,mhaia
2024-09-15,20420.0,20420.0,2025-06-22,mhaia
2024-09-22,18623.0,18623.0,2025-06-22,mhaia
2024-09-29,22992.0,22992.0,2025-06-22,mhaia
2024-10-06,20620.0,20620.0,2025-06-22,mhaia
2024-10-13,28707.0,28707.0,2025-06-22,mhaia
2024-10-20,26576.0,26576.0,2025-06-22,mhaia
2024-10-27,24376.0,24376.0,2025-06-22,mhaia
2024-11-03,21409.0,21409.0,2025-06-22,mhaia
2024-11-10,22646.0,22646.0,2025-06-22,mhaia
2024-11-17,23839.0,23839.0,2025-06-22,mhaia
2024-11-24,20429.0,20429.0,2025-06-22,mhaia
2024-12-01,23889.0,23889.0,2025-06-22,mhaia
2024-12-08,24767.0,24767.0,2025-06-22,mhaia
2024-12-15,19577.0,19577.0,2025-06-22,mhaia
2024-12-22,20374.0,20374.0,2025-06-22,mhaia
2024-12-29,15202.0,15202.0,2025-06-22,mhaia
2025-01-05,14553.0,14553.0,2025-06-22,mhaia
2025-01-12,27915.0,27915.0,2025-06-22,mhaia
2025-01-19,30587.0,30587.0,2025-06-22,mhaia
2025-01-26,30712.0,30712.0,2025-06-22,mhaia
2025-02-02,24835.0,24835.0,2025-06-22,mhaia
2025-02-09,14665.0,14665.0,2025-06-22,mhaia
2025-02-16,18954.0,18954.0,2025-06-22,mhaia
2025-02-23,23437.0,23437.0,2025-06-22,mhaia
2025-03-02,21222.0,21222.0,2025-06-22,mhaia
2025-03-09,16137.0,16137.0,2025-06-22,mhaia
2025-03-16,22872.0,22872.0,2025-06-22,mhaia
2025-03-23,23128.0,23128.0,2025-06-22,mhaia
2025-03-30,28276.0,28276.0,2025-06-22,mhaia
2025-04-06,15390.0,15390.0,2025-06-22,mhaia
2025-04-13,19316.0,19316.0,2025-06-22,mhaia
2025-04-20,14457.0,14457.0,2025-06-22,mhaia
2025-04-27,18940.0,18940.0,2025-06-22,mhaia
2025-05-04,16545.0,16545.0,2025-06-22,mhaia
2025-05-11,17737.0,17737.0,2025-06-22,mhaia
2025-05-18,15558.0,15558.0,2025-06-22,mhaia
2025-05-25,13913.0,13913.0,2025-06-22,mhaia
2025-06-01,14287.0,14287.0,2025-06-22,mhaia
2025-06-08,14558.0,14558.0,2025-06-22,mhaia
2025-06-15,17319.0,17319.0,2025-06-22,mhaia
2025-06-22,14094.0,16058.0,2025-06-22,mhaia
2025-06-29,12104.0,,2025-06-22,mhaia
2025-07-06,14757.0,14757.0,2026-01-11,mhaia
2025-07-13,16138.0,16138.0,2026-01-11,mhaia
2025-07-20,18021.0,18021.0,2026-01-11,mhaia
2025-07-27,15619.0,15619.0,2026-01-11,mhaia
2025-08-03,14436.0,14436.0,2026-01-11,mhaia
2025-08-10,18666.0,18666.0,2026-01-11,mhaia
2025-08-17,19968.0,19968.0,2026-01-11,mhaia
2025-08-24,20566.0,20566.0,2026-01-11,mhaia
2025-08-31,20271.0,20271.0,2026-01-11,mhaia
2025-09-07,21537.0,21537.0,2026-01-11,mhaia
2025-09-14,22689.0,22689.0,2026-01-11,mhaia
2025-09-21,18370.0,18370.0,2026-01-11,mhaia
2025-09-28,25370.0,25370.0,2026-01-11,mhaia
2025-10-05,25476.0,25476.0,2026-01-11,mhaia
2025-10-12,23898.0,23898.0,2026-01-11,mhaia
2025-10-19,27461.0,27461.0,2026-01-11,mhaia
2025-10-26,26890.0,26890.0,2026-01-11,mhaia
2025-11-02,24702.0,24702.0,2026-01-11,mhaia
2025-11-09,24493.0,24493.0,2026-01-11,mhaia
2025-11-16,28025.0,28025.0,2026-01-11,mhaia
2025-11-23,24550.0,24550.0,2026-01-11,mhaia
2025-11-30,25681.0,25681.0,2026-01-11,mhaia
2025-12-07,25840.0,25840.0,2026-01-11,mhaia
2025-12-14,18664.0,25110.0,2026-01-11,mhaia
2025-12-21,22154.0,27274.0,2026-01-11,mhaia
2025-12-28,16397.0,21254.0,2026-01-11,mhaia
2026-01-04,19137.0,20379.0,2026-01-11,mhaia
2026-01-11,31524.0,32781.0,2026-01-11,mhaia
2026-01-18,32103.0,,2026-01-11,mhaia
2026-01-25,32693.0,,2026-01-11,mhaia
2026-02-01,30001.0,,2026-01-11,mhaia
2026-02-08,20282.0,,2026-01-11,mhaia
2026-02-15,24856.0,,2026-01-11,mhaia
2026-02-22,24980.0,,2026-01-11,mhaia
2026-03-01,25023.0,,2026-01-11,mhaia
2026-03-08,25048.0,,2026-01-11,mhaia
2026-03-15,24345.0,,2026-01-11,mhaia
2026-03-22,18476.0,,2026-01-11,mhaia
2026-03-29,23946.0,,2026-01-11,mhaia
2026-04-05,17273.0,,2026-01-11,mhaia
2026-04-12,26017.0,,2026-01-11,mhaia
2026-04-19,26498.0,,2026-01-11,mhaia
2026-04-26,24587.0,,2026-01-11,mhaia
2026-05-03,18667.0,,2026-01-11,mhaia
2026-05-10,19039.0,,2026-01-11,mhaia
2026-05-17,17505.0,,2026-01-11,mhaia
2026-05-24,17251.0,,2026-01-11,mhaia
2026-05-31,16884.0,,2026-01-11,mhaia
2026-06-07,16032.0,,2026-01-11,mhaia
2026-06-14,14508.0,,2026-01-11,mhaia
2026-06-21,13907.0,,2026-01-11,mhaia
2026-06-28,12763.0,,2026-01-11,mhaia
